Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat_(%),Ptch(rad),Roll(rad),Yaw(rad),FM,GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,SA,SB,SC,SD,LSW,TxBat(V)
2021-08-03,08:45:22.600,-51,0,100,12,0,6,100,-46,100,12,20.5,0.0,1,80,0.00,0.00,-0.38,0,12.598394 47.440606,0.1,0.00,213,7,-2,-4,-1020,0,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:22.890,-50,0,100,13,0,6,100,-47,100,13,20.5,0.0,1,80,0.00,0.00,-0.38,0,12.598394 47.440606,0.1,0.00,213,7,-8,0,-1020,-3,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:23.190,-50,0,100,13,0,6,100,-47,100,13,20.5,0.0,1,80,0.00,0.00,-0.38,0,12.598394 47.440606,0.1,0.00,213,7,13,11,-1024,-7,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:23.490,-50,0,100,14,0,6,100,-48,100,13,20.5,0.0,1,80,0.00,0.00,-0.38,0,12.598395 47.440606,0.1,0.00,0,7,-10,11,-416,-3,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:23.790,-50,0,100,14,0,6,100,-48,100,13,20.5,0.1,1,80,0.00,0.00,-0.38,0,12.598395 47.440606,0.1,0.00,0,7,0,42,-195,-3,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:24.090,-50,0,100,12,0,6,100,-41,100,13,20.5,0.1,1,80,0.00,-0.01,-0.38,0,12.598395 47.440606,0.1,0.00,0,7,68,3,-225,3,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:24.390,-45,0,100,11,0,6,100,-39,100,13,20.5,0.1,1,80,0.00,-0.01,-0.38,0,12.598395 47.440606,0.1,0.00,0,7,54,-4,-213,6,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:24.690,-45,0,100,11,0,6,100,-39,100,13,20.0,7.9,3,70,0.00,-0.01,-0.38,0,12.598395 47.440606,0.8,0.00,0,7,0,-4,-101,34,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:24.990,-41,0,100,13,0,6,100,-35,100,13,20.0,7.9,3,70,0.04,0.02,0.00,0,12.598395 47.440606,0.8,0.00,0,7,2,58,-105,0,1,-1,-1,-1,0x0000000000000000,4.0
2021-08-03,08:45:25.290,-41,0,100,13,0,6,100,-35,100,13,20.0,7.9,3,70,0.04,0.02,0.00,0,12.598395 47.440606,0.8,0.00,0,7,51,54,-176,-7,1,-1,-1,-1,0x0000000000000000,4.0
